Best Overall Rating,Body Type,Club,Height,Height - Split 1,Height - Split 1 (bin),Joined,Kit Number,Loaned From,Name,Nationality,Position,Preferred Foot,Release Clause,Value (bin),Weight,Weight - Split 1,Weight - Split 1 (bin),Work Rate,Age,Contract Valid Until,International Reputation,Player Score Overall,Potential,Skill Moves,Special,Value,Wage,Weak Foot
,Lean (170-185),AC Milan,175cm,175,175,"Aug 4, 2019",4,,I. Bennacer,Algeria,Midfielder,Left,€71M,35,70kg,70,70,High/ Medium,24,2024,2,82,86,4,2213,40,63,3
,Stocky (170-185),Atalanta,181cm,181,180,"Jul 16, 2019",18,,R. Malinovskyi,Ukraine,Forward,Left,€51.9M,26,79kg,79,75,Medium/ Medium,29,2023,3,82,82,4,2213,30.5,73,4
,Normal (170-185),Juventus,183cm,183,180,"Jul 1, 2021",14,,W. McKennie,United States,Midfielder,Right,€55.9M,26,84kg,84,80,High/ High,23,2025,2,80,85,3,2212,31.5,90,3
,Unique,Real Madrid CF,185cm,185,185,"Jul 11, 2013",14,,Casemiro,Brazil,Midfielder,Right,€176.3M,78,84kg,84,80,Medium/ High,30,2025,3,89,89,2,2209,86,300,3
,Normal (170-185),TSG Hoffenheim,171cm,171,170,,11,"<a href=""/team/112172/rb-leipzig/"">RB Leipzig</a>",Angeliño,Spain,Defender,Left,,35,69kg,69,65,High/ High,25,,2,83,85,4,2209,42,64,3
,Unique,Aston Villa,178cm,178,175,"Jan 13, 2022",27,,L. Digne,France,Defender,Left,€52.3M,26,74kg,74,70,High/ Medium,28,2026,2,82,82,3,2206,27.5,100,2
,Unique,FC Barcelona,185cm,185,185,"Jul 18, 2022",9,,R. Lewandowski,Poland,Forward,Right,€172.2M,78,81kg,81,80,High/ Medium,33,2025,5,91,91,4,2205,84,420,4
,Normal (170-),River Plate,167cm,167,165,"Aug 15, 2017",11,,N. De la Cruz,Uruguay,Midfielder,Right,€24.3M,9,65kg,65,65,High/ High,25,2022,1,78,79,4,2197,16.5,19,4
,Unique,Manchester City,183cm,183,180,"Jul 14, 2017",2,,K. Walker,England,Defender,Right,€69.4M,35,83kg,83,80,High/ High,32,2024,3,85,85,3,2196,37.5,170,2
,Unique,AC Milan,184cm,184,180,"Jul 5, 2019",19,,T. Hernández,France,Defender,Left,€134.9M,70,81kg,81,80,High/ Medium,24,2026,3,85,90,3,2195,76,82,3
,Lean (170-185),Stade Rennais FC,178cm,178,175,"Jun 14, 2017",14,,B. Bourigeaud,France,Forward,Right,€49.4M,17,68kg,68,65,High/ High,28,2023,2,81,81,3,2194,26,66,3
,Normal (170-185),Inter,183cm,183,180,,8,"<a href=""/team/39/atalanta/"">Atalanta</a>",R. Gosens,Germany,Midfielder,Left,,26,76kg,76,75,High/ Medium,27,,3,82,82,3,2193,29.5,59,3
,Unique,Roma,175cm,175,175,,25,"<a href=""/team/73/paris-saint-germain/"">Paris Saint-Germain</a>",G. Wijnaldum,Netherlands,Midfielder,Right,,17,74kg,74,70,High/ High,31,,3,80,80,3,2193,17.5,83,4
,Normal (170-185),Olympique Lyonnais,181cm,181,180,"Jul 1, 2022",88,,C. Tolisso,France,Midfielder,Right,€52.3M,26,81kg,81,80,High/ Medium,27,2027,3,81,81,3,2193,27.5,75,3
,Unique,Tottenham Hotspur,188cm,188,185,"Jul 28, 2010",10,,H. Kane,England,Forward,Right,€200.5M,104,89kg,89,85,High/ High,28,2024,4,89,89,3,2193,105.5,240,5
,Normal (170-185),Atlético de Madrid,176cm,176,175,"Jan 1, 2011",6,,Koke,Spain,Midfielder,Right,€70.7M,26,77kg,77,75,Medium/ Medium,30,2024,3,83,83,3,2192,34.5,74,4
,Lean (185+),Rangers FC,182cm,182,180,"Jul 20, 2015",2,,J. Tavernier,England,Defender,Right,€21.6M,9,75kg,75,75,High/ Medium,30,2024,1,78,78,3,2191,12,51,3
,Normal (170-185),Liverpool,182cm,182,180,"Jun 9, 2011",14,,J. Henderson,England,Midfielder,Right,€52.7M,26,80kg,80,80,High/ High,32,2025,3,83,83,3,2190,28.5,135,3
,Unique,Paris Saint-Germain,169cm,169,165,"Aug 10, 2021",30,,L. Messi,Argentina,Forward,Left,€99.9M,52,67kg,67,65,Low/ Low,35,2023,5,91,91,4,2190,54,195,4
,Unique,Paris Saint-Germain,165cm,165,165,"Jul 18, 2012",6,,M. Verratti,Italy,Midfielder,Right,€143.4M,70,60kg,60,60,Medium/ High,29,2024,3,87,87,4,2189,77.5,155,4
,Normal (170-185),FC Porto,183cm,183,180,"Aug 5, 2019",8,,M. Uribe,Colombia,Midfielder,Right,€42M,17,77kg,77,75,Medium/ High,31,2023,1,81,81,3,2189,21,19,4
,Unique,FC Bayern München,174cm,174,170,"Jul 1, 2022",17,,S. Mané,Senegal,Forward,Right,€164.2M,96,69kg,69,65,High/ Medium,30,2025,4,89,89,4,2188,99.5,145,4
,Normal (170-185),Olympique Lyonnais,180cm,180,180,"Oct 1, 2020",10,,Lucas Paquetá,Brazil,Midfielder,Left,€90.9M,44,72kg,72,70,High/ High,24,2025,2,82,87,5,2188,46,70,4
,Lean (170-185),RCD Espanyol de Barcelona,180cm,180,180,"Jul 10, 2018",10,,Sergi Darder,Spain,Midfielder,Right,€64.1M,26,71kg,71,70,Medium/ Medium,28,2023,1,82,82,3,2188,30.5,30,3
,Normal (170-185),Leicester City,176cm,176,175,"Jul 8, 2019",8,,Y. Tielemans,Belgium,Midfielder,Right,€103.7M,52,72kg,72,70,Medium/ Medium,25,2023,2,84,86,4,2187,52.5,115,5
,Lean (170-),Manchester United,169cm,169,165,"Jun 21, 2018",17,,Fred,Brazil,Midfielder,Left,€39M,17,62kg,62,60,High/ High,29,2023,3,80,80,4,2186,20.5,120,3
,Lean (170-185),Manchester City,173cm,173,170,"Jul 1, 2017",20,,Bernardo Silva,Portugal,Midfielder,Left,€180.4M,96,64kg,64,60,High/ High,27,2025,2,88,88,4,2185,97.5,260,3
,Lean (170-185),SL Benfica,172cm,172,170,"Jan 4, 2016",3,,Grimaldo,Spain,Defender,Left,€75.7M,35,67kg,67,65,High/ Medium,26,2023,3,82,85,3,2184,36.5,19,2
,Normal (170-185),Valencia CF,180cm,180,180,"Jul 1, 2015",10,,Carlos Soler,Spain,Midfielder,Right,€115.3M,52,76kg,76,75,Medium/ Medium,25,2023,2,83,88,3,2183,53,51,4
,Lean (185+),Borussia Dortmund,186cm,186,185,"Jul 23, 2020",22,,J. Bellingham,England,Midfielder,Right,€154.9M,78,75kg,75,75,High/ High,19,2025,2,84,91,4,2182,81.5,41,4
,Lean (185+),Atlético de Madrid,188cm,188,185,"Nov 3, 2020",4,,G. Kondogbia,Central African Republic,Midfielder,Left,€60.5M,26,80kg,80,80,Medium/ High,29,2024,2,82,82,3,2181,29.5,71,3
,Normal (170-185),Newcastle United,173cm,173,170,"Jan 7, 2022",2,,K. Trippier,England,Defender,Right,€58M,26,71kg,71,70,Medium/ Medium,31,2024,2,84,84,3,2181,30.5,120,4
,Unique,Paris Saint-Germain,182cm,182,180,"Jul 1, 2018",7,,K. Mbappé,France,Forward,Right,€366.7M,183,73kg,73,70,High/ Low,23,2025,4,91,95,5,2177,190.5,230,4
,Lean (185+),AFC Richmond,185cm,185,185,"Jul 1, 2019",24,,S. Obisanya,Nigeria,Midfielder,Right,€110.3M,52,77kg,77,75,High/ High,22,2026,1,81,88,3,2176,52.5,55,3
,Normal (170-185),Athletic Club de Bilbao,181cm,181,180,"Jul 2, 2018",17,,Yuri Berchiche,Spain,Defender,Left,€44.1M,17,80kg,80,80,High/ Medium,32,2024,2,82,82,3,2176,21,35,3
,Normal (170-185),Sevilla FC,173cm,173,170,"Jan 14, 2022",9,,J. Corona,Mexico,Forward,Right,€53.6M,17,66kg,66,65,Medium/ Medium,29,2025,3,81,81,5,2175,25.5,40,5
,Normal (170-185),Unión Deportiva Almería,175cm,175,175,"Oct 1, 2020",5,,L. Robertone,Argentina,Midfielder,Right,€23.9M,9,70kg,70,70,Medium/ High,25,2025,1,76,80,4,2173,10.5,24,4
,Normal (170-185),Inter,178cm,178,175,"Jul 1, 2021",20,,H. Çalhanoğlu,Turkey,Midfielder,Right,€69.3M,35,76kg,76,75,High/ High,28,2024,3,84,84,4,2172,42,100,4
,Normal (170-185),Wolverhampton Wanderers,180cm,180,180,"Jul 8, 2017",8,,Rúben Neves,Portugal,Midfielder,Right,€93.8M,44,80kg,80,80,Low/ High,25,2024,2,83,86,3,2171,47.5,105,4
,Normal (170-185),Rayo Vallecano,180cm,180,180,"Jul 1, 2017",8,,Ó. Trejo,Argentina,Midfielder,Right,€16.8M,0,79kg,79,75,High/ Medium,34,2023,1,79,79,3,2171,8,25,4
,Normal (170-185),Bayer 04 Leverkusen,183cm,183,180,"Jul 1, 2019",10,,K. Demirbay,Germany,Midfielder,Left,€43.4M,17,71kg,71,70,High/ Medium,28,2024,2,81,81,4,2171,25.5,65,4
,Normal (170-),Borussia Dortmund,170cm,170,170,"Jul 1, 2016",13,,R. Guerreiro,Portugal,Defender,Left,€46.8M,26,71kg,71,70,High/ Low,28,2023,3,82,82,4,2171,27.5,57,2
,Unique,FC Bayern München,185cm,185,185,"Jan 1, 2019",19,,A. Davies,Canada,Defender,Left,€104.4M,52,77kg,77,75,High/ Low,21,2025,3,84,89,4,2170,60.5,59,4
,Normal (170-185),Atalanta,183cm,183,180,"Aug 30, 2021",7,,T. Koopmeiners,Netherlands,Midfielder,Left,€53.3M,26,77kg,77,75,Medium/ Medium,24,2025,2,80,84,3,2170,30,49,2
,Lean (170-),Sevilla FC,172cm,172,170,"Jul 28, 2017",16,,Jesús Navas,Spain,Defender,Right,€16.8M,0,60kg,60,60,High/ Medium,36,2024,2,83,83,4,2169,8,28,2
,Unique,Leicester City,175cm,175,175,"Jun 9, 2018",21,,Ricardo Pereira,Portugal,Defender,Right,€62.7M,26,70kg,70,70,High/ High,28,2026,3,83,83,3,2168,33,105,4
,Unique,Liverpool,188cm,188,185,"Jul 1, 2018",3,,Fabinho,Brazil,Midfielder,Right,€148.2M,70,78kg,78,75,Medium/ High,28,2026,3,87,88,3,2165,77,185,2
,Unique,Inter,174cm,174,170,"Jul 5, 2018",10,,L. Martínez,Argentina,Forward,Right,€169.9M,96,72kg,72,70,High/ Medium,24,2026,3,86,90,4,2163,98.5,110,4
,Normal (170-185),Villarreal CF,182cm,182,180,"Aug 12, 2020",5,,Parejo,Spain,Midfielder,Right,€88.2M,35,74kg,74,70,Medium/ Medium,33,2024,2,86,86,3,2162,42,64,4
,Normal (185+),Fiorentina,185cm,185,185,"Jul 1, 2018",3,,C. Biraghi,Italy,Defender,Left,€31.5M,17,78kg,78,75,Medium/ Medium,29,2024,2,80,80,3,2159,18.5,58,3
,Unique,Manchester United,187cm,187,185,"Aug 27, 2021",7,,Cristiano Ronaldo,Portugal,Forward,Right,€77.9M,35,83kg,83,80,High/ Low,37,2023,5,90,90,5,2159,41,220,4
,Unique,Real Madrid CF,180cm,180,180,"Jul 1, 2019",23,,F. Mendy,France,Defender,Left,€80.8M,35,73kg,73,70,High/ High,27,2025,1,83,84,4,2158,38,170,5
,Unique,Paris Saint-Germain,175cm,175,175,"Aug 3, 2017",10,,Neymar Jr,Brazil,Forward,Right,€184.1M,96,68kg,68,65,High/ Medium,30,2025,5,89,89,5,2157,99.5,200,5
,Unique,Los Angeles FC,185cm,185,185,,11,,G. Bale,Wales,Forward,Left,€30.8M,17,82kg,82,80,Medium/ Medium,32,,4,81,81,4,2157,20.5,14,3
,Normal (185+),Bayer 04 Leverkusen,187cm,187,185,"Aug 16, 2021",8,,R. Andrich,Germany,Midfielder,Right,€47M,26,83kg,83,80,High/ High,27,2026,2,81,82,3,2156,26.5,57,4
,Lean (170-185),RB Leipzig,180cm,180,180,,20,,K. Laimer,Austria,Midfielder,Right,€68.3M,35,72kg,72,70,Medium/ High,25,,2,83,84,3,2156,38.5,64,3
,Unique,Borussia Dortmund,180cm,180,180,"Jul 1, 2012",11,,M. Reus,Germany,Midfielder,Right,€57M,26,71kg,71,70,High/ Medium,33,2023,4,85,85,4,2154,33.5,78,4
,Normal (170-185),VfL Wolfsburg,184cm,184,180,"Oct 10, 2011",27,,M. Arnold,Germany,Midfielder,Left,€36.4M,17,74kg,74,70,High/ Medium,28,2026,2,80,81,3,2154,20.5,51,2
,Unique,Chelsea,168cm,168,165,"Jul 16, 2016",7,,N. Kanté,France,Midfielder,Right,€133.2M,70,70kg,70,70,Medium/ High,31,2023,4,89,89,2,2154,72,220,3
,Unique,Liverpool,178cm,178,175,"Jul 21, 2017",26,,A. Robertson,Scotland,Defender,Left,€133.2M,70,64kg,64,60,High/ High,28,2026,3,87,87,3,2154,72,185,2
,Lean (185+),Atlético de Madrid,185cm,185,185,"Sep 8, 2020",21,,Y. Carrasco,Belgium,Midfielder,Right,€111.7M,52,73kg,73,70,High/ High,28,2024,3,85,85,4,2153,54.5,90,4
,Unique,Al Nassr,190cm,190,190,"Jun 26, 2021",94,,Anderson Talisca,Brazil,Forward,Left,€52.7M,26,80kg,80,80,High/ Low,28,2024,2,82,82,4,2152,31,64,4
,Normal (170-185),Hellas Verona,180cm,180,180,"Jul 1, 2019",5,,M. Faraoni,Italy,Midfielder,Right,€20.4M,9,71kg,71,70,High/ High,30,2024,1,78,78,3,2151,12,27,4
,Normal (170-185),Montpellier Hérault SC,172cm,172,170,"Jul 2, 2019",11,,T. Savanier,France,Midfielder,Right,€47.5M,17,69kg,69,65,High/ Medium,30,2026,2,81,81,4,2150,25,33,5
,Normal (170-),Wuhan Three Towns,170cm,170,170,"Feb 25, 2022",43,,N. Stanciu,Romania,Midfielder,Right,€26.4M,9,63kg,63,60,Medium/ Medium,29,2027,2,79,79,4,2150,17,26,4
,Normal (170-185),Southampton,173cm,173,170,"Jun 1, 2011",8,,J. Ward-Prowse,England,Midfielder,Right,€58.3M,26,66kg,66,65,High/ High,27,2026,2,81,82,3,2149,29.5,69,3
,Stocky (170-),River Plate,170cm,170,170,"Sep 9, 2015",20,,M. Casco,Argentina,Defender,Right,€5.5M,0,69kg,69,65,High/ Low,34,2023,1,77,77,3,2148,3.9,17,5
,Unique,Royal Antwerp FC,177cm,177,175,"Aug 14, 2021",4,,R. Nainggolan,Belgium,Midfielder,Right,€5.3M,0,89kg,89,85,Medium/ Low,34,2023,3,76,76,3,2147,3.5,22,3
,Normal (170-185),Real Madrid CF,185cm,185,185,"Jul 9, 2009",9,,K. Benzema,France,Forward,Right,€131.2M,61,81kg,81,80,Medium/ Medium,34,2023,4,91,91,4,2147,64,450,4
,Normal (170-185),Real Madrid CF,183cm,183,180,"Jul 17, 2014",8,,T. Kroos,Germany,Midfielder,Right,€147.6M,70,76kg,76,75,Medium/ Medium,32,2023,4,88,88,3,2147,72,310,5
,Normal (170-),FC Bayern München,170cm,170,170,"Nov 1, 2002",21,,17 P. Lahm,Germany,Defender,Right,,26,66kg,66,65,Medium/ High,32,2018,4,88,88,3,2146,29.5,200,3
,Normal (170-185),Al Shabab,176cm,176,175,"Aug 22, 2020",10,,É. Banega,Argentina,Midfielder,Right,€20.4M,9,78kg,78,75,Medium/ Medium,34,2023,3,81,81,4,2145,12,47,4
,Normal (170-185),Sporting CP,173cm,173,170,"May 17, 2022",24,,Pedro Porro,Spain,Defender,Right,€84.7M,35,69kg,69,65,High/ Medium,22,2025,1,81,87,3,2144,38.5,15,3
,Normal (185+),Hellas Verona,190cm,190,190,"Jul 6, 2021",7,,A. Barák,Czech Republic,Forward,Left,€53.3M,26,86kg,86,85,High/ Medium,27,2024,1,81,82,4,2144,30,41,3
,Lean (185+),Arsenal,185cm,185,185,"Oct 5, 2020",5,,T. Partey,Ghana,Midfielder,Right,€68.4M,35,77kg,77,75,Medium/ High,29,2024,2,84,84,3,2143,36,115,3
,Unique,Juventus,180cm,180,180,"Jul 8, 2022",22,,Á. Di María,Argentina,Forward,Left,€34M,17,69kg,69,65,High/ Medium,34,2023,4,84,84,5,2142,20,160,2
,Lean (170-185),Atlético de Madrid,182cm,182,180,"Jul 28, 2015",3,,19 Filipe Luís,Brazil,Defender,Left,€44.1M,17,74kg,74,70,High/ Medium,32,2019,3,85,85,3,2141,21.5,80,3
,Unique,Tottenham Hotspur,183cm,183,180,"Aug 28, 2015",7,,H. Son,Korea Republic,Forward,Right,€191.9M,96,78kg,78,75,High/ Medium,29,2025,4,89,89,4,2141,101,240,5
,Lean (185+),FC Bayern München,185cm,185,185,"Aug 10, 2008",25,,T. Müller,Germany,Midfielder,Right,€104M,61,76kg,76,75,High/ High,32,2024,4,87,87,3,2140,63,115,4
,Unique,Paris Saint-Germain,184cm,184,180,"Jul 8, 2021",4,,Sergio Ramos,Spain,Defender,Right,€13.9M,0,82kg,82,80,High/ Medium,36,2023,4,84,84,3,2137,7.5,75,3
,Normal (170-185),Fiorentina,181cm,181,180,"Sep 10, 2020",5,,G. Bonaventura,Italy,Midfielder,Right,€18.7M,9,75kg,75,75,High/ Medium,32,2023,2,78,78,4,2136,11,52,3
,Normal (170-185),Napoli,183cm,183,180,"Jul 1, 2019",22,,G. Di Lorenzo,Italy,Defender,Right,€46.8M,26,83kg,83,80,Medium/ Medium,28,2026,2,82,82,3,2135,27.5,66,3
,Normal (170-185),Trabzonspor,183cm,183,180,"Jul 1, 2021",17,,M. Hamšík,Slovakia,Midfielder,Right,€18.1M,9,73kg,73,70,High/ Medium,34,2023,3,80,80,4,2135,9.5,45,5
,Stocky (170-185),Shanghai Port FC,180cm,180,180,"Jul 1, 2017",10,,21 Hulk,Brazil,Forward,Left,€20.8M,9,85kg,85,85,High/ Low,33,2023,4,80,80,4,2134,13,20,3
,Normal (185+),Manchester City,191cm,191,190,"Jul 4, 2019",16,,Rodri,Spain,Midfielder,Right,€170.4M,87,82kg,82,80,Medium/ High,26,2027,3,87,89,3,2133,88.5,200,4
,Lean (170-185),Arsenal,175cm,175,175,"Jul 22, 2022",35,,O. Zinchenko,Ukraine,Defender,Left,€42.5M,17,64kg,64,60,High/ Medium,25,2027,2,79,82,3,2133,21.5,73,3
,Normal (170-185),SL Benfica,180cm,180,180,"Jul 14, 2022",13,,E. Fernández,Argentina,Midfielder,Right,€69.3M,26,77kg,77,75,High/ High,21,2027,1,78,87,3,2133,31.5,12,4
,Normal (170-185),RB Bragantino,172cm,172,170,,7,,Adryan Zonta,Brazil,Defender,Left,€41.8M,17,68kg,68,65,Medium/ Medium,30,,1,81,81,2,2133,22,23,4
,Lean (170-185),Unión Deportiva Las Palmas,171cm,171,170,"Aug 23, 2021",21,,Jonathan Viera,Spain,Midfielder,Right,€26.4M,9,67kg,67,65,High/ Medium,32,2026,2,80,80,4,2131,16.5,14,4
,Lean (170-185),Chelsea,180cm,180,180,"Jul 16, 2018",5,,Jorginho,Italy,Midfielder,Right,€95.3M,44,68kg,68,65,Medium/ Medium,30,2023,2,85,85,3,2128,51.5,165,3
,Normal (170-185),Aston Villa,178cm,178,175,"Aug 8, 2018",7,,J. McGinn,Scotland,Midfielder,Left,€39.5M,17,68kg,68,65,High/ High,27,2025,2,79,80,3,2127,20,83,2
,Lean (185+),Olympique de Marseille,185cm,185,185,"Jul 1, 2022",6,,M. Guendouzi,France,Midfielder,Right,€69.3M,26,68kg,68,65,Medium/ High,23,2025,1,80,86,4,2127,33,41,3
,Normal (170-185),Galatasaray SK,181cm,181,180,"Jul 9, 2022",27,,Sérgio Oliveira,Portugal,Midfielder,Right,€32.3M,9,78kg,78,75,Medium/ Medium,30,2026,1,79,79,3,2127,17,70,4
,Stocky (170-185),Real Betis Balompié,173cm,173,170,"Jul 23, 2019",8,,N. Fekir,France,Midfielder,Left,€114.5M,52,75kg,75,75,High/ Medium,28,2026,3,85,85,4,2126,54.5,48,4
,Lean (170-185),Napoli,180cm,180,180,"Aug 4, 2016",20,,P. Zieliński,Poland,Midfielder,Right,€62.1M,35,75kg,75,75,Medium/ Medium,28,2024,3,83,83,4,2125,36.5,78,5
,Normal (185+),Napoli,189cm,189,185,"Jul 5, 2018",8,,Fabián,Spain,Midfielder,Left,€79M,44,70kg,70,70,Medium/ Medium,26,2023,2,83,85,4,2125,44.5,75,3
,Normal (185+),Houston Dynamo,185cm,185,185,"Jul 7, 2022",16,,H. Herrera,Mexico,Midfielder,Right,€23.9M,9,78kg,78,75,Medium/ Medium,32,2024,3,80,80,3,2123,16.5,12,4
,Normal (170-185),VfL Wolfsburg,176cm,176,175,"Oct 1, 2020",20,,R. Baku,Germany,Defender,Right,€53.3M,26,75kg,75,75,High/ Medium,24,2025,2,80,84,3,2122,30,46,4
,Lean (170-185),Olympique de Marseille,172cm,172,170,"Sep 3, 2019",21,,V. Rongier,France,Midfielder,Right,€31.6M,9,70kg,70,70,Medium/ Medium,27,2024,2,78,79,3,2121,16,40,4
,Unique,Manchester City,195cm,195,195,"Jul 1, 2022",9,,E. Haaland,Norway,Forward,Left,€303.4M,148,94kg,94,90,High/ Medium,21,2027,4,88,94,3,2120,148,220,3
,Lean (185+),Juventus,185cm,185,185,,27,"<a href=""/team/111974/us-sassuolo-calcio/"">U.S. Sassuolo Calcio</a>",M. Locatelli,Italy,Midfielder,Right,,35,75kg,75,75,Medium/ High,24,,2,82,86,3,2120,40,37,4
,Lean (170-185),Eintracht Frankfurt,184cm,184,180,"Jul 1, 2019",8,,D. Sow,Switzerland,Midfielder,Right,€47M,26,76kg,76,75,Medium/ High,25,2024,2,80,82,3,2119,26.5,34,4
,Lean (170-185),Chelsea,180cm,180,180,"Jan 10, 2016",19,,M. Mount,England,Forward,Right,€110.7M,52,74kg,74,70,High/ High,23,2024,3,84,87,3,2119,57.5,130,4
,Unique,Leicester City,179cm,179,175,"May 1, 2012",9,,J. Vardy,England,Forward,Right,€43.7M,17,74kg,74,70,High/ Medium,35,2023,3,85,85,3,2118,23,110,4
